nama_kategori,nama_produk,tgl_transaksi,nama_cabang,nilai_jual,jumlah_unit
Sayur-Sayuran,Bawang Merah / Onion 1kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,394,460 ", 127 
Sayur-Sayuran,buncis 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 696,640 ", 112 
Sayur-Sayuran,kacang panjang 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 850,120 ", 106 
Sayur-Sayuran,kacang hijau 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 382,130 ", 53 
Sayur-Sayuran,kentang 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 73,184,640 "," 9,024 "
Sayur-Sayuran,ketimun 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 412,960 ", 89 
Sayur-Sayuran,kobis 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 56,180 ", 53 
Sayur-Sayuran,tomat 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 675,360 ", 144 
Sayur-Sayuran,ubi kayu basah 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 89,100 ", 81 
Sayur-Sayuran,ubi jalar 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 107,690 ", 89 
Sayur-Sayuran,wortel 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 581,360 ", 169 
Makanan & Minuman,susu kotak (800 ml),1/1/2008 0:00,PHI Mini Market - Makassar 01," 356,120 ", 29 
Makanan & Minuman,telur ayam ras 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 2,142,720 ", 186 
Makanan & Minuman,telur ayam kampung 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 2,039,040 ", 108 
Makanan & Minuman,mie instant 1 kotak (40 bungkus),1/1/2008 0:00,PHI Mini Market - Makassar 01," 5,794,800 ", 60 
Makanan & Minuman,air mineral 600 ml,1/1/2008 0:00,PHI Mini Market - Makassar 01," 91,200 ", 76 
Makanan & Minuman,jus kesehatan 600 ml,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,478,400 ", 165 
Makanan & Minuman,nasi goreng instant (1 ons),1/1/2008 0:00,PHI Mini Market - Makassar 01," 593,880 ", 98 
Makanan & Minuman,snack gurih 1 ons,1/1/2008 0:00,PHI Mini Market - Makassar 01," 885,560 ", 169 
Makanan & Minuman,kacang goreng 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 375,100 ", 31 
Makanan & Minuman,kacang mete 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 4,989,880 ", 71 
Makanan & Minuman,markisa 600 ml,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,842,100 ", 130 
Makanan & Minuman,bumbu fried chicken,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,628,460 ", 109 
Makanan & Minuman,susu kotak 1 l,1/1/2008 0:00,PHI Mini Market - Makassar 01," 772,160 ", 76 
Makanan & Minuman,minuman probiotik,1/1/2008 0:00,PHI Mini Market - Makassar 01," 69,300 ", 77 
Buah,jeruk 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,444,660 ", 119 
Buah,apel 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 811,740,160 "," 14,848 "
Buah,alpukat 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 642,360 ", 106 
Buah,belimbing 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 280,700 ", 70 
Buah,durian 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,496,490 ", 83 
Buah,kelapa muda,1/1/2008 0:00,PHI Mini Market - Makassar 01," 277,200 ", 55 
Buah,mangga 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 768,810 ", 49 
Buah,Manggis 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 1,715,640 ", 87 
Buah,nenas 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 314,600 ", 52 
Buah,nangka 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 219,317,760 "," 7,296 "
Buah,pepaya 1 buah,1/1/2008 0:00,PHI Mini Market - Makassar 01," 603,790 ", 121 
Buah,pisang 1 sisir,1/1/2008 0:00,PHI Mini Market - Makassar 01," 575,040 ", 96 
Buah,rambutan 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 679,520 ", 124 
Buah,salak 1 kg,1/1/2008 0:00,PHI Mini Market - Makassar 01," 2,565,300 ", 170 
Buah,semangka 1 buah,1/1/2008 0:00,PHI Mini Market - Makassar 01," 514,800 ", 40 
Sayur-Sayuran,Bawang Merah / Onion 1kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,262,700 ", 115 
Sayur-Sayuran,buncis 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 684,870 ", 111 
Sayur-Sayuran,kacang panjang 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 427,710 ", 53 
Sayur-Sayuran,kacang hijau 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 644,360 ", 89 
Sayur-Sayuran,kentang 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 37,140,480 "," 4,608 "
Sayur-Sayuran,ketimun 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 801,500 ", 175 
Sayur-Sayuran,kobis 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 100,700 ", 95 
Sayur-Sayuran,tomat 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 401,620 ", 86 
Sayur-Sayuran,ubi kayu basah 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 54,390 ", 49 
Sayur-Sayuran,ubi jalar 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 195,600 ", 163 
Sayur-Sayuran,wortel 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 224,000 ", 64 
Makanan & Minuman,susu kotak (800 ml),1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,642,550 ", 133 
Makanan & Minuman,telur ayam ras 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 882,960 ", 78 
Makanan & Minuman,telur ayam kampung 1 kg,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 1,617,660 ", 86 
Makanan & Minuman,mie instant 1 kotak (40 bungkus),1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 11,735,180 ", 122 
Makanan & Minuman,air mineral 600 ml,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 152,460 ", 126 
Makanan & Minuman,jus kesehatan 600 ml,1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 983,400 ", 110 
Makanan & Minuman,nasi goreng instant (1 ons),1/1/2008 0:00,PHI Mini Market - Jakarta Pusat 01," 480,000 ", 80 
