kode_produk;tgl_berlaku;harga_berlaku;modal
PROD-0000001;2008-01-01;11000;10340
PROD-0000002;2008-01-01;4180;3990
PROD-0000003;2008-01-01;6220;5910
PROD-0000004;2008-01-01;8020;7680
PROD-0000005;2008-01-01;7170;6780
PROD-0000006;2008-01-01;8030;7640
PROD-0000007;2008-01-01;4590;4410
PROD-0000008;2008-01-01;1060;1010
PROD-0000009;2008-01-01;4670;4460
PROD-0000010;2008-01-01;1100;1040
PROD-0000011;2008-01-01;1200;1140
PROD-0000012;2008-01-01;3470;3290
PROD-0000013;2008-01-01;12300;11630
PROD-0000014;2008-01-01;11410;10740
PROD-0000015;2008-01-01;18960;18050
PROD-0000016;2008-01-01;96580;91040
PROD-0000017;2008-01-01;1200;1140
PROD-0000018;2008-01-01;8920;8370
PROD-0000019;2008-01-01;6020;5660
PROD-0000020;2008-01-01;5190;5000
PROD-0000021;2008-01-01;12100;11290
PROD-0000022;2008-01-01;69580;66500
PROD-0000023;2008-01-01;14060;13300
PROD-0000024;2008-01-01;14970;14250
PROD-0000025;2008-01-01;10100;9420
PROD-0000026;2008-01-01;900;860
PROD-0000027;2008-01-01;12120;11340
PROD-0000028;2008-01-01;55000;52250
PROD-0000029;2008-01-01;6060;5700
PROD-0000030;2008-01-01;3980;3800
PROD-0000031;2008-01-01;17960;17160
PROD-0000032;2008-01-01;4990;4750
PROD-0000033;2008-01-01;15530;14800
PROD-0000034;2008-01-01;19840;18950
PROD-0000035;2008-01-01;6060;5650
PROD-0000036;2008-01-01;30060;28410
PROD-0000037;2008-01-01;5000;4750
PROD-0000038;2008-01-01;5980;5700
PROD-0000039;2008-01-01;5520;5220
PROD-0000040;2008-01-01;14970;14250
PROD-0000041;2008-01-01;12920;12270
PROD-0000001;2008-01-02;11070;10440
PROD-0000002;2008-01-02;4190;4010
PROD-0000003;2008-01-02;6220;5830
PROD-0000004;2008-01-02;7970;7550
PROD-0000005;2008-01-02;7090;6740
PROD-0000006;2008-01-02;7980;7650
PROD-0000007;2008-01-02;4580;4400
PROD-0000008;2008-01-02;1060;1010
PROD-0000009;2008-01-02;4720;4430
PROD-0000010;2008-01-02;1090;1040
PROD-0000011;2008-01-02;1200;1140
PROD-0000012;2008-01-02;3510;3320
PROD-0000013;2008-01-02;12100;11520
PROD-0000014;2008-01-02;11280;10740
PROD-0000015;2008-01-02;19190;17960
PROD-0000016;2008-01-02;96960;90400
PROD-0000017;2008-01-02;1210;1140
PROD-0000018;2008-01-02;8860;8410
PROD-0000019;2008-01-02;6050;5700
PROD-0000020;2008-01-02;5280;4970
PROD-0000021;2008-01-02;11900;11400
PROD-0000022;2008-01-02;70140;66270
PROD-0000023;2008-01-02;13940;13200
PROD-0000024;2008-01-02;14940;14230
PROD-0000025;2008-01-02;9960;9500
PROD-0000026;2008-01-02;900;860
PROD-0000027;2008-01-02;12050;11310
PROD-0000028;2008-01-02;55000;52250
PROD-0000029;2008-01-02;6050;5680
PROD-0000030;2008-01-02;4010;3820
PROD-0000031;2008-01-02;17930;17260
PROD-0000032;2008-01-02;5030;4720
PROD-0000033;2008-01-02;15470;14660
PROD-0000034;2008-01-02;20160;19140
PROD-0000035;2008-01-02;6060;5700
PROD-0000036;2008-01-02;30300;28500
PROD-0000037;2008-01-02;4990;4720
PROD-0000038;2008-01-02;5990;5700
PROD-0000039;2008-01-02;5460;5220
PROD-0000040;2008-01-02;14970;14140
PROD-0000041;2008-01-02;12900;12320
PROD-0000001;2008-01-03;11070;10470
PROD-0000002;2008-01-03;4240;3990
PROD-0000003;2008-01-03;6190;5840
PROD-0000004;2008-01-03;8020;7650
PROD-0000005;2008-01-03;7110;6760
PROD-0000006;2008-01-03;8000;7530
PROD-0000007;2008-01-03;4650;4370
PROD-0000008;2008-01-03;1060;1010
PROD-0000009;2008-01-03;4670;4460
PROD-0000010;2008-01-03;1110;1040
PROD-0000011;2008-01-03;1190;1150
PROD-0000012;2008-01-03;3530;3340
PROD-0000013;2008-01-03;12200;11590
PROD-0000014;2008-01-03;11320;10810
PROD-0000015;2008-01-03;18850;18200
PROD-0000016;2008-01-03;96000;91570
PROD-0000017;2008-01-03;1200;1150
PROD-0000018;2008-01-03;8940;8480
PROD-0000019;2008-01-03;5980;5700
PROD-0000020;2008-01-03;5260;4920
PROD-0000021;2008-01-03;12070;11320
PROD-0000022;2008-01-03;70140;67070
PROD-0000023;2008-01-03;14140;13160
PROD-0000024;2008-01-03;14970;14380
PROD-0000025;2008-01-03;9980;9540
PROD-0000026;2008-01-03;890;860
PROD-0000027;2008-01-03;11930;11500
PROD-0000028;2008-01-03;54670;52590
PROD-0000029;2008-01-03;5980;5670
PROD-0000030;2008-01-03;3990;3810
PROD-0000031;2008-01-03;17890;17050
PROD-0000032;2008-01-03;5000;4750
PROD-0000033;2008-01-03;15440;14720
PROD-0000034;2008-01-03;19960;19000
PROD-0000035;2008-01-03;6060;5700
PROD-0000036;2008-01-03;29880;28500
PROD-0000037;2008-01-03;4970;4780
PROD-0000038;2008-01-03;6000;5730
PROD-0000039;2008-01-03;5460;5270
PROD-0000040;2008-01-03;15030;14200
PROD-0000041;2008-01-03;13050;12350
PROD-0000001;2008-01-04;11040;10480
PROD-0000002;2008-01-04;4230;4010
PROD-0000003;2008-01-04;6220;5890
PROD-0000004;2008-01-04;8080;7600
PROD-0000005;2008-01-04;7140;6730
PROD-0000006;2008-01-04;8050;7650
PROD-0000007;2008-01-04;4610;4320
PROD-0000008;2008-01-04;1080;1020
PROD-0000009;2008-01-04;4700;4470
PROD-0000010;2008-01-04;1100;1040
PROD-0000011;2008-01-04;1190;1150
PROD-0000012;2008-01-04;3540;3320
PROD-0000013;2008-01-04;12250;11670
PROD-0000014;2008-01-04;11320;10780
PROD-0000015;2008-01-04;19190;18230
PROD-0000016;2008-01-04;96380;91880
PROD-0000017;2008-01-04;1200;1140
PROD-0000018;2008-01-04;8990;8460
PROD-0000019;2008-01-04;5960;5700
PROD-0000020;2008-01-04;5240;5020
PROD-0000021;2008-01-04;12120;11450
PROD-0000022;2008-01-04;70420;66940
PROD-0000023;2008-01-04;14000;13300
PROD-0000024;2008-01-04;15000;14320
PROD-0000025;2008-01-04;10020;9530
PROD-0000026;2008-01-04;890;860
PROD-0000027;2008-01-04;12070;11310
PROD-0000028;2008-01-04;55330;51830
PROD-0000029;2008-01-04;5950;5700
PROD-0000030;2008-01-04;4020;3790
PROD-0000031;2008-01-04;18040;17230
PROD-0000032;2008-01-04;4980;4730
PROD-0000033;2008-01-04;15440;14720
PROD-0000034;2008-01-04;20040;18880
PROD-0000035;2008-01-04;5960;5730
PROD-0000036;2008-01-04;30300;28500
PROD-0000037;2008-01-04;4960;4790
PROD-0000038;2008-01-04;6020;5750
PROD-0000039;2008-01-04;5460;5220
PROD-0000040;2008-01-04;14910;14330
PROD-0000041;2008-01-04;12920;12360
PROD-0000001;2008-01-05;10930;10390
PROD-0000002;2008-01-05;4240;3990
PROD-0000003;2008-01-05;6240;5890
PROD-0000004;2008-01-05;7950;7600
PROD-0000005;2008-01-05;7130;6740
PROD-0000006;2008-01-05;7940;7660
PROD-0000007;2008-01-05;4640;4390
PROD-0000008;2008-01-05;1080;1020
PROD-0000009;2008-01-05;4720;4490
PROD-0000010;2008-01-05;1100;1040
PROD-0000011;2008-01-05;1190;1140
PROD-0000012;2008-01-05;3510;3290
PROD-0000013;2008-01-05;12300;11540
PROD-0000014;2008-01-05;11350;10840
PROD-0000015;2008-01-05;18920;17870
PROD-0000016;2008-01-05;95230;90930
PROD-0000017;2008-01-05;1210;1140
PROD-0000018;2008-01-05;8860;8490
PROD-0000019;2008-01-05;5980;5710
PROD-0000020;2008-01-05;5200;5010
PROD-0000021;2008-01-05;12020;11400
PROD-0000022;2008-01-05;70280;66500
PROD-0000023;2008-01-05;13970;13300
PROD-0000024;2008-01-05;15120;14150
PROD-0000025;2008-01-05;10000;9500
PROD-0000026;2008-01-05;890;860
PROD-0000027;2008-01-05;12070;11400
PROD-0000028;2008-01-05;55440;52250
PROD-0000029;2008-01-05;6000;5660
PROD-0000030;2008-01-05;4040;3800
PROD-0000031;2008-01-05;17860;17110
PROD-0000032;2008-01-05;4970;4750
PROD-0000033;2008-01-05;15440;14750
PROD-0000034;2008-01-05;19960;19190
PROD-0000035;2008-01-05;5950;5700
PROD-0000036;2008-01-05;29880;28510
PROD-0000037;2008-01-05;4980;4750
PROD-0000038;2008-01-05;6020;5700
PROD-0000039;2008-01-05;5490;5220
PROD-0000040;2008-01-05;15030;14250
PROD-0000041;2008-01-05;13030;12300
PROD-0000001;2008-01-06;11090;10400
PROD-0000002;2008-01-06;4220;3990
PROD-0000003;2008-01-06;6190;5910
PROD-0000004;2008-01-06;8000;7600
PROD-0000005;2008-01-06;7140;6740
PROD-0000006;2008-01-06;8000;7600
PROD-0000007;2008-01-06;4580;4330
PROD-0000008;2008-01-06;1060;1010
PROD-0000009;2008-01-06;4700;4440
PROD-0000010;2008-01-06;1090;1040
PROD-0000011;2008-01-06;1200;1140
PROD-0000012;2008-01-06;3490;3320
PROD-0000013;2008-01-06;12320;11590
PROD-0000014;2008-01-06;11410;10850
PROD-0000015;2008-01-06;18960;17910
PROD-0000016;2008-01-06;96380;91740
PROD-0000017;2008-01-06;1200;1130
PROD-0000018;2008-01-06;8860;8370
PROD-0000019;2008-01-06;6010;5680
PROD-0000020;2008-01-06;5190;4970
PROD-0000021;2008-01-06;11950;11360
PROD-0000022;2008-01-06;70280;66500
PROD-0000023;2008-01-06;14030;13330
PROD-0000024;2008-01-06;14910;14200
PROD-0000025;2008-01-06;10080;9410
PROD-0000026;2008-01-06;900;860
PROD-0000027;2008-01-06;11950;11520
PROD-0000028;2008-01-06;54890;52250
PROD-0000029;2008-01-06;6000;5730
PROD-0000030;2008-01-06;3980;3800
PROD-0000031;2008-01-06;17890;17100
PROD-0000032;2008-01-06;4970;4710
PROD-0000033;2008-01-06;15660;14720
PROD-0000034;2008-01-06;19960;18880
PROD-0000035;2008-01-06;5980;5650
PROD-0000036;2008-01-06;29940;28260
PROD-0000037;2008-01-06;5030;4750
PROD-0000038;2008-01-06;5960;5700
PROD-0000039;2008-01-06;5490;5220
PROD-0000040;2008-01-06;14910;14350
PROD-0000041;2008-01-06;13030;12350
PROD-0000001;2008-01-07;10980;10440
PROD-0000002;2008-01-07;4220;4030
PROD-0000003;2008-01-07;6150;5890
PROD-0000004;2008-01-07;8000;7640
PROD-0000005;2008-01-07;7140;6730
PROD-0000006;2008-01-07;8080;7530
PROD-0000007;2008-01-07;4600;4400
PROD-0000008;2008-01-07;1070;1010
PROD-0000009;2008-01-07;4730;4480
PROD-0000010;2008-01-07;1100;1050
PROD-0000011;2008-01-07;1200;1150
PROD-0000012;2008-01-07;3490;3290
PROD-0000013;2008-01-07;12150;11590
PROD-0000014;2008-01-07;11320;10690
PROD-0000015;2008-01-07;19110;18050
PROD-0000016;2008-01-07;96580;91200
PROD-0000017;2008-01-07;1200;1140
PROD-0000018;2008-01-07;8990;8540
PROD-0000019;2008-01-07;6020;5650
PROD-0000020;2008-01-07;5260;4950
PROD-0000021;2008-01-07;11980;11400
PROD-0000022;2008-01-07;70560;67110
PROD-0000023;2008-01-07;14080;13260
PROD-0000024;2008-01-07;14940;14340
PROD-0000025;2008-01-07;10040;9550
PROD-0000026;2008-01-07;890;850
PROD-0000027;2008-01-07;11980;11400
PROD-0000028;2008-01-07;54890;52250
