"kode_item";"kode_produk";"kode_kategori";"kategori";"nama_produk";"unit";"kode_satuan";"harga";"updated";"kenaikan per bulan";"bulan kenaikan 1";"bulan kenaikan 2"
"ITM-001";"PROD-0000001";"KTG-003";"Sayur-Sayuran";"bawang merah 1kg";1;"kg";11,000;01/01/08;0.57;1;5
"ITM-002";"PROD-0000002";"KTG-003";"Sayur-Sayuran";"bawang putih 1 kg";1;"kg";4,200;01/01/08;0.81;4;3
"ITM-003";"PROD-0000003";"KTG-003";"Sayur-Sayuran";"buncis 1 kg";1;"kg";6,200;01/01/08;0.63;1;2
"ITM-004";"PROD-0000004";"KTG-003";"Sayur-Sayuran";"kacang panjang 1 kg";1;"kg";8,000;01/01/08;0.91;2;3
"ITM-005";"PROD-0000005";"KTG-003";"Sayur-Sayuran";"kacang hijau 1 kg";1;"kg";7,100;01/01/08;0.15;5;2
"ITM-006";"PROD-0000006";"KTG-003";"Sayur-Sayuran";"kentang 1 kg";1;"kg";8,000;01/01/08;0.73;4;1
"ITM-007";"PROD-0000007";"KTG-003";"Sayur-Sayuran";"ketimun 1 kg";1;"kg";4,600;01/01/08;0.03;3;4
"ITM-008";"PROD-0000008";"KTG-003";"Sayur-Sayuran";"kobis 1 kg";1;"kg";1,068;01/01/08;0.75;2;6
"ITM-009";"PROD-0000009";"KTG-003";"Sayur-Sayuran";"tomat 1 kg";1;"kg";4,700;01/01/08;0.97;2;6
"ITM-010";"PROD-0000010";"KTG-003";"Sayur-Sayuran";"ubi kayu basah 1 kg";1;"kg";1,100;01/01/08;0.03;5;5
"ITM-011";"PROD-0000011";"KTG-003";"Sayur-Sayuran";"ubi jalar 1 kg";1;"kg";1,200;01/01/08;0.65;6;2
"ITM-012";"PROD-0000012";"KTG-003";"Sayur-Sayuran";"wortel 1 kg";1;"kg";3,500;01/01/08;0.88;1;3
"ITM-013";"PROD-0000013";"KTG-002";"Makanan & Minuman";"susu kotak (800 ml)";1;"ktk";12,200;01/01/08;0.98;5;4
"ITM-014";"PROD-0000014";"KTG-002";"Makanan & Minuman";"telur ayam ras 1 kg";1;"kg";11,300;01/01/08;0.81;4;1
"ITM-015";"PROD-0000015";"KTG-002";"Makanan & Minuman";"telur ayam kampung 1 kg";1;"kg";19,000;01/01/08;0.87;2;4
"ITM-016";"PROD-0000016";"KTG-002";"Makanan & Minuman";"mie instant 1 kotak (40 bungkus)";40;"bks";96,000;01/01/08;0.67;4;4
"ITM-017";"PROD-0000017";"KTG-002";"Makanan & Minuman";"air mineral 600 ml";1;"btl";1,200;01/01/08;0.94;5;5
"ITM-018";"PROD-0000018";"KTG-002";"Makanan & Minuman";"jus kesehatan 600 ml";1;"btl";8,900;01/01/08;0.7;3;1
"ITM-019";"PROD-0000019";"KTG-002";"Makanan & Minuman";"nasi goreng instant (1 ons)";1;"bks";6,000;01/01/08;0.46;1;5
"ITM-020";"PROD-0000020";"KTG-002";"Makanan & Minuman";"snack gurih 1 ons";1;"ons";5,228;01/01/08;0.21;1;5
"ITM-021";"PROD-0000021";"KTG-002";"Makanan & Minuman";"kacang goreng 1 kg";1;"kg";12,000;01/01/08;0.07;4;4
"ITM-022";"PROD-0000022";"KTG-002";"Makanan & Minuman";"kacang mete 1 kg";1;"kg";70,000;01/01/08;0.1;3;1
"ITM-023";"PROD-0000023";"KTG-002";"Makanan & Minuman";"markisa 600 ml";1;"btl";14,000;01/01/08;0.69;4;2
"ITM-024";"PROD-0000024";"KTG-002";"Makanan & Minuman";"bumbu fried chicken";1;"bks";15,000;01/01/08;0.87;6;6
"ITM-025";"PROD-0000025";"KTG-002";"Makanan & Minuman";"susu kotak 1 l";1;"btl";10,000;01/01/08;0.03;4;1
"ITM-026";"PROD-0000026";"KTG-002";"Makanan & Minuman";"minuman probiotik";1;"btl";900;01/01/08;0.26;6;3
"ITM-027";"PROD-0000027";"KTG-001";"Buah";"jeruk 1 kg";1;"kg";12,000;01/01/08;0.52;6;2
"ITM-028";"PROD-0000028";"KTG-001";"Buah";"apel 1 kg";1;"kg";55,000;01/01/08;0.12;5;1
"ITM-029";"PROD-0000029";"KTG-001";"Buah";"alpukat 1 kg";1;"kg";6,000;01/01/08;0.02;4;4
"ITM-030";"PROD-0000030";"KTG-001";"Buah";"belimbing 1 kg";1;"kg";4,000;01/01/08;0.22;6;4
"ITM-031";"PROD-0000031";"KTG-001";"Buah";"durian 1 kg";1;"kg";18,000;01/01/08;0.54;6;4
"ITM-032";"PROD-0000032";"KTG-001";"Buah";"kelapa muda";1;"buah";5,000;01/01/08;0.62;2;6
"ITM-033";"PROD-0000033";"KTG-001";"Buah";"mangga 1 kg";1;"kg";15,500;01/01/08;0.22;5;6
"ITM-034";"PROD-0000034";"KTG-001";"Buah";"Manggis 1 kg";1;"kg";20,000;01/01/08;0.46;6;4
"ITM-035";"PROD-0000035";"KTG-001";"Buah";"nenas 1 kg";1;"kg";6,000;01/01/08;0.51;2;3
"ITM-036";"PROD-0000036";"KTG-001";"Buah";"nangka 1 kg";1;"kg";30,000;01/01/08;0.84;4;2
