kode_produk;tgl_berlaku;kode_cabang;kode_cabang_1;harga_berlaku_cabang;modal_cabang;biaya_cabang
PROD-0000001;2008-01-01;CABANG-039;039;11110;10570;60
PROD-0000002;2008-01-01;CABANG-039;039;4190;4010;20
PROD-0000003;2008-01-01;CABANG-039;039;6170;5800;0
PROD-0000004;2008-01-01;CABANG-039;039;7970;7510;180
PROD-0000005;2008-01-01;CABANG-039;039;7160;6840;60
PROD-0000006;2008-01-01;CABANG-039;039;8030;7690;20
PROD-0000007;2008-01-01;CABANG-039;039;4570;4310;30
PROD-0000008;2008-01-01;CABANG-039;039;1060;1010;10
PROD-0000009;2008-01-01;CABANG-039;039;4660;4470;0
PROD-0000010;2008-01-01;CABANG-039;039;1100;1040;30
PROD-0000011;2008-01-01;CABANG-039;039;1200;1140;30
PROD-0000012;2008-01-01;CABANG-039;039;3470;3290;70
PROD-0000013;2008-01-01;CABANG-039;039;12200;11590;180
PROD-0000014;2008-01-01;CABANG-039;039;11430;10930;260
PROD-0000015;2008-01-01;CABANG-039;039;19070;18160;370
PROD-0000016;2008-01-01;CABANG-039;039;95810;91020;1290
PROD-0000017;2008-01-01;CABANG-039;039;1190;1140;10
PROD-0000018;2008-01-01;CABANG-039;039;8900;8500;130
PROD-0000019;2008-01-01;CABANG-039;039;6040;5740;140
PROD-0000020;2008-01-01;CABANG-039;039;5190;4920;120
PROD-0000021;2008-01-01;CABANG-039;039;12170;11530;30
PROD-0000022;2008-01-01;CABANG-039;039;69440;66640;520
PROD-0000023;2008-01-01;CABANG-039;039;14170;13460;230
PROD-0000024;2008-01-01;CABANG-039;039;14880;14140;190
PROD-0000025;2008-01-01;CABANG-039;039;10200;9690;90
PROD-0000026;2008-01-01;CABANG-039;039;890;850;10
PROD-0000027;2008-01-01;CABANG-039;039;12140;11550;290
PROD-0000028;2008-01-01;CABANG-039;039;55110;52350;740
PROD-0000029;2008-01-01;CABANG-039;039;6100;5800;10
PROD-0000030;2008-01-01;CABANG-039;039;3950;3750;70
PROD-0000031;2008-01-01;CABANG-039;039;18000;17090;20
PROD-0000032;2008-01-01;CABANG-039;039;5020;4760;20
PROD-0000033;2008-01-01;CABANG-039;039;15500;14720;50
PROD-0000034;2008-01-01;CABANG-039;039;19800;18850;360
PROD-0000035;2008-01-01;CABANG-039;039;6020;5700;100
PROD-0000036;2008-01-01;CABANG-039;039;30180;28670;540
PROD-0000037;2008-01-01;CABANG-039;039;5030;4750;40
PROD-0000038;2008-01-01;CABANG-039;039;5990;5700;50
PROD-0000039;2008-01-01;CABANG-039;039;5520;5300;120
PROD-0000040;2008-01-01;CABANG-039;039;15120;14490;330
PROD-0000041;2008-01-01;CABANG-039;039;12970;12320;110
PROD-0000001;2008-01-02;CABANG-039;039;11140;10580;60
PROD-0000002;2008-01-02;CABANG-039;039;4230;4030;0
PROD-0000003;2008-01-02;CABANG-039;039;6200;5880;20
PROD-0000004;2008-01-02;CABANG-039;039;7950;7530;20
PROD-0000005;2008-01-02;CABANG-039;039;7150;6800;10
PROD-0000006;2008-01-02;CABANG-039;039;8010;7570;20
PROD-0000007;2008-01-02;CABANG-039;039;4580;4350;20
PROD-0000008;2008-01-02;CABANG-039;039;1070;1010;0
PROD-0000009;2008-01-02;CABANG-039;039;4770;4530;10
PROD-0000010;2008-01-02;CABANG-039;039;1090;1030;10
PROD-0000011;2008-01-02;CABANG-039;039;1190;1130;0
PROD-0000012;2008-01-02;CABANG-039;039;3550;3370;70
PROD-0000013;2008-01-02;CABANG-039;039;12150;11610;90
PROD-0000014;2008-01-02;CABANG-039;039;11300;10750;150
PROD-0000015;2008-01-02;CABANG-039;039;19070;18120;10
PROD-0000016;2008-01-02;CABANG-039;039;96770;91240;2320
PROD-0000017;2008-01-02;CABANG-039;039;1210;1170;0
PROD-0000018;2008-01-02;CABANG-039;039;8900;8450;70
PROD-0000019;2008-01-02;CABANG-039;039;6100;5800;20
PROD-0000020;2008-01-02;CABANG-039;039;5250;4980;120
PROD-0000021;2008-01-02;CABANG-039;039;11950;11370;200
PROD-0000022;2008-01-02;CABANG-039;039;70840;67300;1380
PROD-0000023;2008-01-02;CABANG-039;039;13970;13340;100
PROD-0000024;2008-01-02;CABANG-039;039;14940;14230;300
PROD-0000025;2008-01-02;CABANG-039;039;9940;9470;80
PROD-0000026;2008-01-02;CABANG-039;039;900;860;10
PROD-0000027;2008-01-02;CABANG-039;039;11950;11360;20
PROD-0000028;2008-01-02;CABANG-039;039;54890;51990;140
PROD-0000029;2008-01-02;CABANG-039;039;6070;5770;30
PROD-0000030;2008-01-02;CABANG-039;039;4010;3810;40
PROD-0000031;2008-01-02;CABANG-039;039;17860;16970;440
PROD-0000032;2008-01-02;CABANG-039;039;5020;4750;0
PROD-0000033;2008-01-02;CABANG-039;039;15440;14630;10
PROD-0000034;2008-01-02;CABANG-039;039;20200;19100;310
